Unnamed: 0,country_code,city_code,store_name,product_name,collection_section,product_description,subset,hash,aux_store,HIER,s3_path
91,ES,SLM,AS_021,Vino Santiago Queirolo Rosé Shiraz Botella 2L,Vino Rosé,,train,-5898201178050936641,True,False,dataset/ZFRHCRK_0005671_708517679.png
94,ES,BCN,Lolita Bakery,Menú Twister,BURGERS DE #POLLOPOLLO,"Crujientes tiras de pechuga envueltas en una tortilla tostada con tomate, lechuga y nuestra exclusiva salsa Pepper Mayo. Con bebida y complemento.",train,8416736226944482701,False,True,dataset/BFDKZRG_0022399_436566589.png
96,ES,BCN,Moncho´s House,Burger Veggie,Burgers,"Vegana, coleslaw, salsa de rábano picante y encurtidos ",train,8997666206120298189,False,True,dataset/BFDKZRG_0063319_1137118738.png
98,ES,MAD,Herbívoro,Tarta de queso,Paraíso Dulce,Con culis de frutos rojos.,train,-943169656282163061,False,True,dataset/YJWRKVT_0047010_1187344444.png
101,ES,MAT,CO Insta - Container Store,Gyozas de Langostino (5 uds),Gyozas,,train,2808774594408402962,False,True,dataset/VWGBWJK_0000842_611867922.png
104,ES,MAL,Wefresh,Nestea Té Negro Limón lata 330ml.,Bebidas,,train,-4343589935423362372,False,True,dataset/ZYBZGJX_0007565_1374652204.png
105,ES,BCN,AS_028,Tinte Syoss Oi 10-50 Rubio Clr Cen50Ml,Coloración permanente,,train,1772995257680584,True,False,dataset/BFDKZRG_0162508_1776867172.png
116,ES,BCN,Poke Show,Uramaki Roll Ebi Tempura Sake (8 uds),Sushi,,train,4602174296788942599,False,True,dataset/BFDKZRG_0001615_1649469.png
118,EC,GYE,Tía,Alimento P/Perro Adulto R/Peq Nutrapro 2 Kg,Alimentos Para Perros,,train,1952390100889251872,False,True,dataset/WBDKYZB_0010326_913527409.png
119,EC,VDC,Santa María,Galleta Noglut Waffer Vainilla Sin Gluten,Galletas Especiales,,train,93375804232118897,False,True,dataset/CKBSJCC_0058701_1267526680.png
121,AR,COR,AS_009,Chuleta de Pavita,Pavo,,train,-3210995707086865506,True,False,dataset/HLKTVWG_0006847_710283046.png
122,EC,VDC,El Encocado,Ceviche de cangrejo,Ceviches,"Ceviche con pulpa de cangrejo acompañado con porción de canguil, chifle y tostado.",train,2670234521530441373,False,True,dataset/CKBSJCC_0071213_1349795681.png
